id,date,time,height,type
tide104,2021-04-27,21:21:00,0.48,low
tide105,2021-04-28,2:51:00,0.9,high
tide106,2021-04-28,9:42:00,0.26,low
tide107,2021-04-28,16:12:00,0.98,high
tide108,2021-04-28,22:28:00,0.5,low
tide109,2021-04-29,3:37:00,0.92,high
tide110,2021-04-29,10:36:00,0.22,low
tide111,2021-04-29,17:08:00,1.02,high
tide112,2021-04-29,23:19:00,0.52,low
tide113,2021-04-30,4:22:00,0.95,high
tide114,2021-04-30,11:27:00,0.2,low
tide115,2021-04-30,18:01:00,1.05,high
tide116,2021-05-01,0:05:00,0.52,low
tide117,2021-05-01,5:08:00,0.97,high
tide118,2021-05-01,12:15:00,0.2,low
tide119,2021-05-01,18:51:00,1.05,high
tide120,2021-05-02,0:49:00,0.52,low
tide121,2021-05-02,5:56:00,0.98,high
tide122,2021-05-02,13:00:00,0.21,low
tide123,2021-05-02,19:39:00,1.04,high
tide124,2021-05-03,1:32:00,0.52,low
tide125,2021-05-03,6:46:00,0.97,high
tide126,2021-05-03,13:45:00,0.23,low
tide127,2021-05-03,20:25:00,1.01,high
tide128,2021-05-04,2:15:00,0.51,low
tide129,2021-05-04,7:37:00,0.94,high
tide130,2021-05-04,14:27:00,0.27,low
tide131,2021-05-04,21:10:00,0.98,high
tide132,2021-05-05,3:01:00,0.51,low
tide133,2021-05-05,8:32:00,0.9,high
tide134,2021-05-05,15:10:00,0.3,low
tide135,2021-05-05,21:53:00,0.95,high
tide136,2021-05-06,3:51:00,0.5,low
tide137,2021-05-06,9:30:00,0.86,high
tide138,2021-05-06,15:54:00,0.35,low
tide139,2021-05-06,22:39:00,0.93,high
tide140,2021-05-07,4:53:00,0.49,low
tide141,2021-05-07,10:37:00,0.81,high
tide142,2021-05-07,16:45:00,0.4,low
tide143,2021-05-07,23:28:00,0.9,high
tide144,2021-05-08,6:12:00,0.46,low
tide145,2021-05-08,11:57:00,0.79,high
tide146,2021-05-08,17:53:00,0.46,low
tide147,2021-05-09,0:22:00,0.89,high
tide148,2021-05-09,7:22:00,0.42,low
tide149,2021-05-09,13:24:00,0.81,high
tide150,2021-05-09,19:21:00,0.5,low
tide151,2021-05-10,1:19:00,0.87,high
tide152,2021-05-10,8:20:00,0.37,low
tide153,2021-05-10,14:36:00,0.85,high
tide154,2021-05-10,20:43:00,0.52,low
tide155,2021-05-11,2:09:00,0.87,high
tide156,2021-05-11,9:06:00,0.33,low
tide157,2021-05-11,15:34:00,0.91,high
tide158,2021-05-11,21:43:00,0.53,low
tide159,2021-05-12,2:52:00,0.87,high
tide160,2021-05-12,9:45:00,0.3,low
tide161,2021-05-12,16:23:00,0.96,high
tide162,2021-05-12,22:29:00,0.54,low
tide163,2021-05-13,3:28:00,0.88,high
tide164,2021-05-13,10:21:00,0.28,low
tide165,2021-05-13,17:06:00,1,high
tide166,2021-05-13,23:08:00,0.55,low
tide167,2021-05-14,4:01:00,0.89,high
tide168,2021-05-14,10:55:00,0.27,low
tide169,2021-05-14,17:46:00,1.02,high
tide170,2021-05-14,23:43:00,0.55,low
tide171,2021-05-15,4:34:00,0.91,high
tide172,2021-05-15,11:31:00,0.27,low
tide173,2021-05-15,18:22:00,1.03,high
tide174,2021-05-16,0:16:00,0.55,low
tide175,2021-05-16,5:08:00,0.92,high
tide176,2021-05-16,12:07:00,0.27,low
tide177,2021-05-16,18:57:00,1.02,high
tide178,2021-05-17,0:48:00,0.55,low
tide179,2021-05-17,5:45:00,0.92,high
tide180,2021-05-17,12:43:00,0.28,low
tide181,2021-05-17,19:30:00,1.01,high
tide182,2021-05-18,1:20:00,0.56,low
tide183,2021-05-18,6:21:00,0.91,high
tide184,2021-05-18,13:18:00,0.29,low
tide185,2021-05-18,20:02:00,0.99,high
tide186,2021-05-19,1:51:00,0.56,low
tide187,2021-05-19,7:00:00,0.9,high
tide188,2021-05-19,13:51:00,0.3,low
tide189,2021-05-19,20:34:00,0.98,high
tide190,2021-05-20,2:26:00,0.55,low
tide191,2021-05-20,7:42:00,0.88,high
tide192,2021-05-20,14:25:00,0.32,low
tide193,2021-05-20,21:08:00,0.96,high
tide194,2021-05-21,3:06:00,0.53,low
tide195,2021-05-21,8:33:00,0.86,high
tide196,2021-05-21,15:03:00,0.34,low
tide197,2021-05-21,21:47:00,0.95,high
tide198,2021-05-22,3:55:00,0.51,low
tide199,2021-05-22,9:36:00,0.85,high
tide200,2021-05-22,15:50:00,0.39,low
tide201,2021-05-22,22:30:00,0.94,high
tide202,2021-05-23,4:54:00,0.46,low
tide203,2021-05-23,10:51:00,0.84,high
tide204,2021-05-23,16:48:00,0.45,low
tide205,2021-05-23,23:18:00,0.93,high
tide206,2021-05-24,6:01:00,0.4,low
tide207,2021-05-24,12:14:00,0.86,high
tide208,2021-05-24,18:02:00,0.52,low
tide209,2021-05-25,0:10:00,0.93,high
tide210,2021-05-25,7:08:00,0.34,low
tide211,2021-05-25,13:43:00,0.91,high
tide212,2021-05-25,19:22:00,0.58,low
tide213,2021-05-26,1:05:00,0.94,high
tide214,2021-05-26,8:11:00,0.27,low
tide215,2021-05-26,15:00:00,0.97,high
tide216,2021-05-26,20:46:00,0.61,low
tide217,2021-05-27,1:59:00,0.95,high
tide218,2021-05-27,9:11:00,0.23,low
tide219,2021-05-27,16:05:00,1.03,high
tide220,2021-05-27,22:04:00,0.61,low
tide221,2021-05-28,2:51:00,0.97,high
tide222,2021-05-28,10:08:00,0.21,low
tide223,2021-05-28,17:02:00,1.06,high
tide224,2021-05-28,22:59:00,0.61,low
tide225,2021-05-29,3:44:00,0.98,high
tide226,2021-05-29,11:02:00,0.21,low
tide227,2021-05-29,17:53:00,1.07,high
tide228,2021-05-29,23:48:00,0.59,low
tide229,2021-05-30,4:37:00,0.99,high
tide230,2021-05-30,11:51:00,0.22,low
tide231,2021-05-30,18:40:00,1.07,high
tide232,2021-05-31,0:34:00,0.56,low
tide233,2021-05-31,5:34:00,0.99,high
tide234,2021-05-31,12:36:00,0.24,low
tide235,2021-05-31,19:23:00,1.06,high
tide236,2021-06-01,1:19:00,0.54,low
tide237,2021-06-01,6:31:00,0.97,high
tide238,2021-06-01,13:21:00,0.28,low
tide239,2021-06-01,20:04:00,1.04,high
tide240,2021-06-02,2:05:00,0.52,low
tide241,2021-06-02,7:28:00,0.93,high
tide242,2021-06-02,14:03:00,0.32,low
tide243,2021-06-02,20:43:00,1.02,high
tide244,2021-06-03,2:51:00,0.5,low
tide245,2021-06-03,8:25:00,0.89,high
tide246,2021-06-03,14:43:00,0.36,low
tide247,2021-06-03,21:21:00,1,high
tide248,2021-06-04,3:43:00,0.48,low
tide249,2021-06-04,9:23:00,0.85,high
tide250,2021-06-04,15:24:00,0.41,low
tide251,2021-06-04,22:01:00,0.98,high
tide252,2021-06-05,4:41:00,0.46,low
tide253,2021-06-05,10:28:00,0.82,high
tide254,2021-06-05,16:10:00,0.47,low
tide255,2021-06-05,22:41:00,0.95,high
tide256,2021-06-06,5:44:00,0.43,low
tide257,2021-06-06,11:45:00,0.82,high
tide258,2021-06-06,17:06:00,0.53,low
tide259,2021-06-06,23:25:00,0.93,high
tide260,2021-06-07,6:40:00,0.39,low
tide261,2021-06-07,13:06:00,0.84,high
tide262,2021-06-07,18:26:00,0.59,low
tide263,2021-06-08,0:12:00,0.91,high
tide264,2021-06-08,7:31:00,0.35,low
tide265,2021-06-08,14:15:00,0.89,high
tide266,2021-06-08,19:53:00,0.63,low
tide267,2021-06-09,0:59:00,0.89,high
tide268,2021-06-09,8:17:00,0.32,low
tide269,2021-06-09,15:13:00,0.94,high
tide270,2021-06-09,21:05:00,0.63,low
tide271,2021-06-10,1:45:00,0.88,high
tide272,2021-06-10,8:59:00,0.29,low
tide273,2021-06-10,16:04:00,0.99,high
tide274,2021-06-10,21:58:00,0.63,low
tide275,2021-06-11,2:29:00,0.89,high
tide276,2021-06-11,9:40:00,0.27,low
tide277,2021-06-11,16:49:00,1.02,high
tide278,2021-06-11,22:41:00,0.62,low
tide279,2021-06-12,3:11:00,0.9,high
tide280,2021-06-12,10:21:00,0.26,low
tide281,2021-06-12,17:29:00,1.04,high
tide282,2021-06-12,23:20:00,0.6,low
tide283,2021-06-13,3:54:00,0.91,high
tide284,2021-06-13,11:01:00,0.27,low
tide285,2021-06-13,18:06:00,1.04,high
tide286,2021-06-13,23:55:00,0.59,low
tide287,2021-06-14,4:36:00,0.92,high
tide288,2021-06-14,11:40:00,0.28,low
tide289,2021-06-14,18:39:00,1.03,high
tide290,2021-06-15,0:29:00,0.58,low
tide291,2021-06-15,5:18:00,0.92,high
tide292,2021-06-15,12:17:00,0.29,low
tide293,2021-06-15,19:10:00,1.02,high
tide294,2021-06-16,1:03:00,0.57,low
tide295,2021-06-16,6:01:00,0.91,high
tide296,2021-06-16,12:51:00,0.31,low
tide297,2021-06-16,19:39:00,1.01,high
tide298,2021-06-17,1:38:00,0.55,low
tide299,2021-06-17,6:47:00,0.9,high
tide300,2021-06-17,13:24:00,0.32,low
tide301,2021-06-17,20:08:00,1,high
tide302,2021-06-18,2:16:00,0.53,low
tide303,2021-06-18,7:38:00,0.88,high
tide304,2021-06-18,13:59:00,0.35,low
tide305,2021-06-18,20:40:00,1,high
tide306,2021-06-19,2:57:00,0.49,low
tide307,2021-06-19,8:35:00,0.88,high
tide308,2021-06-19,14:38:00,0.39,low
tide309,2021-06-19,21:14:00,1,high
tide310,2021-06-20,3:44:00,0.45,low
tide311,2021-06-20,9:36:00,0.87,high
tide312,2021-06-20,15:23:00,0.45,low
tide313,2021-06-20,21:51:00,0.99,high
tide314,2021-06-21,4:37:00,0.4,low
tide315,2021-06-21,10:45:00,0.88,high
tide316,2021-06-21,16:19:00,0.52,low
tide317,2021-06-21,22:35:00,0.99,high
tide318,2021-06-22,5:38:00,0.34,low
tide319,2021-06-22,12:06:00,0.89,high
tide320,2021-06-22,17:26:00,0.59,low
tide321,2021-06-22,23:25:00,0.98,high
tide322,2021-06-23,6:42:00,0.29,low
tide323,2021-06-23,13:34:00,0.93,high
tide324,2021-06-23,18:46:00,0.65,low
tide325,2021-06-24,0:21:00,0.98,high
tide326,2021-06-24,7:45:00,0.24,low
tide327,2021-06-24,14:51:00,0.98,high
tide328,2021-06-24,20:10:00,0.67,low
tide329,2021-06-25,1:21:00,0.97,high
tide330,2021-06-25,8:47:00,0.22,low
tide331,2021-06-25,15:55:00,1.02,high
tide332,2021-06-25,21:38:00,0.66,low
tide333,2021-06-26,2:19:00,0.98,high
tide334,2021-06-26,9:46:00,0.21,low
tide335,2021-06-26,16:51:00,1.04,high
tide336,2021-06-26,22:41:00,0.63,low
tide337,2021-06-27,3:18:00,0.97,high
tide338,2021-06-27,10:41:00,0.22,low
tide339,2021-06-27,17:39:00,1.05,high
tide340,2021-06-27,23:33:00,0.59,low
tide341,2021-06-28,4:21:00,0.97,high
tide342,2021-06-28,11:32:00,0.24,low
tide343,2021-06-28,18:21:00,1.05,high
tide344,2021-06-29,0:21:00,0.55,low
tide345,2021-06-29,5:24:00,0.96,high
tide346,2021-06-29,12:17:00,0.27,low
tide347,2021-06-29,19:00:00,1.04,high
tide348,2021-06-30,1:06:00,0.51,low
tide349,2021-06-30,6:24:00,0.93,high
tide350,2021-06-30,13:00:00,0.3,low
tide351,2021-06-30,19:36:00,1.03,high
tide352,2021-07-01,1:52:00,0.48,low
tide353,2021-07-01,7:20:00,0.91,high
tide354,2021-07-01,13:40:00,0.35,low
tide355,2021-07-01,20:12:00,1.02,high
tide356,2021-07-02,2:37:00,0.45,low
tide357,2021-07-02,8:14:00,0.88,high
tide358,2021-07-02,14:19:00,0.39,low
tide359,2021-07-02,20:46:00,1.01,high
tide360,2021-07-03,3:23:00,0.43,low
tide361,2021-07-03,9:08:00,0.85,high
tide362,2021-07-03,14:56:00,0.44,low
tide363,2021-07-03,21:21:00,0.99,high
tide364,2021-07-04,4:09:00,0.41,low
tide365,2021-07-04,10:06:00,0.83,high
tide366,2021-07-04,15:36:00,0.5,low
tide367,2021-07-04,21:55:00,0.97,high
tide368,2021-07-05,4:58:00,0.38,low
tide369,2021-07-05,11:15:00,0.83,high
tide370,2021-07-05,16:21:00,0.56,low
tide371,2021-07-05,22:32:00,0.95,high
tide372,2021-07-06,5:48:00,0.36,low
tide373,2021-07-06,12:32:00,0.85,high
tide374,2021-07-06,17:18:00,0.62,low
tide375,2021-07-06,23:14:00,0.92,high
tide376,2021-07-07,6:38:00,0.33,low
tide377,2021-07-07,13:42:00,0.88,high
tide378,2021-07-07,18:37:00,0.67,low
tide379,2021-07-08,0:01:00,0.9,high
tide380,2021-07-08,7:28:00,0.3,low
tide381,2021-07-08,14:44:00,0.92,high
tide382,2021-07-08,20:07:00,0.68,low
tide383,2021-07-09,0:51:00,0.88,high
tide384,2021-07-09,8:17:00,0.28,low
tide385,2021-07-09,15:38:00,0.96,high
tide386,2021-07-09,21:19:00,0.67,low
tide387,2021-07-10,1:43:00,0.88,high
tide388,2021-07-10,9:06:00,0.26,low
tide389,2021-07-10,16:25:00,0.98,high
tide390,2021-07-10,22:11:00,0.64,low
tide391,2021-07-11,2:35:00,0.88,high
tide392,2021-07-11,9:52:00,0.25,low
tide393,2021-07-11,17:06:00,1,high
tide394,2021-07-11,22:54:00,0.61,low
tide395,2021-07-12,3:24:00,0.89,high
tide396,2021-07-12,10:36:00,0.25,low
tide397,2021-07-12,17:41:00,1.01,high
tide398,2021-07-12,23:33:00,0.57,low
tide399,2021-07-13,4:14:00,0.89,high
tide400,2021-07-13,11:18:00,0.26,low
tide401,2021-07-13,18:13:00,1,high
tide402,2021-07-14,0:10:00,0.55,low
tide403,2021-07-14,5:04:00,0.89,high
tide404,2021-07-14,11:56:00,0.28,low
tide405,2021-07-14,18:42:00,1,high
tide406,2021-07-15,0:47:00,0.52,low
tide407,2021-07-15,5:55:00,0.89,high
tide408,2021-07-15,12:31:00,0.31,low
tide409,2021-07-15,19:11:00,1,high
tide410,2021-07-16,1:24:00,0.48,low
tide411,2021-07-16,6:48:00,0.89,high
tide412,2021-07-16,13:06:00,0.34,low
tide413,2021-07-16,19:39:00,1,high
tide414,2021-07-17,2:04:00,0.45,low
tide415,2021-07-17,7:40:00,0.89,high
tide416,2021-07-17,13:41:00,0.38,low
tide417,2021-07-17,20:09:00,1,high
tide418,2021-07-18,2:45:00,0.41,low
tide419,2021-07-18,8:34:00,0.89,high
tide420,2021-07-18,14:21:00,0.43,low
tide421,2021-07-18,20:42:00,1,high
tide422,2021-07-19,3:30:00,0.36,low
tide423,2021-07-19,9:32:00,0.89,high
tide424,2021-07-19,15:05:00,0.49,low
tide425,2021-07-19,21:18:00,1,high
tide426,2021-07-20,4:21:00,0.32,low
tide427,2021-07-20,10:36:00,0.88,high
tide428,2021-07-20,15:56:00,0.55,low
tide429,2021-07-20,21:59:00,1,high
tide430,2021-07-21,5:16:00,0.28,low
tide431,2021-07-21,11:57:00,0.89,high
tide432,2021-07-21,16:57:00,0.61,low
tide433,2021-07-21,22:49:00,0.98,high
tide434,2021-07-22,6:18:00,0.25,low
tide435,2021-07-22,13:21:00,0.9,high
tide436,2021-07-22,18:13:00,0.66,low
tide437,2021-07-22,23:48:00,0.96,high
tide438,2021-07-23,7:22:00,0.22,low
tide439,2021-07-23,14:35:00,0.93,high
tide440,2021-07-23,19:39:00,0.67,low
tide441,2021-07-24,0:52:00,0.95,high
tide442,2021-07-24,8:26:00,0.21,low
tide443,2021-07-24,15:38:00,0.96,high
tide444,2021-07-24,21:18:00,0.64,low
tide445,2021-07-25,1:59:00,0.93,high
tide446,2021-07-25,9:30:00,0.21,low
tide447,2021-07-25,16:32:00,0.98,high
tide448,2021-07-25,22:27:00,0.58,low
tide449,2021-07-26,3:08:00,0.92,high
tide450,2021-07-26,10:27:00,0.22,low
tide451,2021-07-26,17:17:00,0.99,high
tide452,2021-07-26,23:21:00,0.53,low
tide453,2021-07-27,4:21:00,0.91,high
tide454,2021-07-27,11:18:00,0.25,low
tide455,2021-07-27,17:55:00,0.99,high
tide456,2021-07-28,0:07:00,0.48,low
tide457,2021-07-28,5:23:00,0.91,high
tide458,2021-07-28,12:02:00,0.28,low
tide459,2021-07-28,18:31:00,0.99,high
tide460,2021-07-29,0:51:00,0.44,low
tide461,2021-07-29,6:17:00,0.9,high
tide462,2021-07-29,12:42:00,0.32,low
tide463,2021-07-29,19:05:00,0.99,high
tide464,2021-07-30,1:33:00,0.41,low
tide465,2021-07-30,7:07:00,0.88,high
tide466,2021-07-30,13:20:00,0.36,low
tide467,2021-07-30,19:37:00,0.99,high
tide468,2021-07-31,2:12:00,0.39,low
tide469,2021-07-31,7:56:00,0.87,high
tide470,2021-07-31,13:55:00,0.4,low
tide471,2021-07-31,20:08:00,0.98,high
tide472,2021-08-01,2:50:00,0.37,low
tide473,2021-08-01,8:45:00,0.85,high
tide474,2021-08-01,14:30:00,0.45,low
tide475,2021-08-01,20:39:00,0.97,high
tide476,2021-08-02,3:28:00,0.35,low
tide477,2021-08-02,9:36:00,0.84,high
tide478,2021-08-02,15:06:00,0.49,low
tide479,2021-08-02,21:09:00,0.96,high
tide480,2021-08-03,4:06:00,0.33,low
tide481,2021-08-03,10:33:00,0.84,high
tide482,2021-08-03,15:45:00,0.55,low
tide483,2021-08-03,21:42:00,0.94,high
tide484,2021-08-04,4:51:00,0.31,low
tide485,2021-08-04,11:39:00,0.84,high
tide486,2021-08-04,16:30:00,0.6,low
tide487,2021-08-04,22:20:00,0.91,high
tide488,2021-08-05,5:40:00,0.29,low
tide489,2021-08-05,12:54:00,0.84,high
tide490,2021-08-05,17:25:00,0.64,low
tide491,2021-08-05,23:06:00,0.88,high
tide492,2021-08-06,6:36:00,0.28,low
tide493,2021-08-06,14:04:00,0.86,high
tide494,2021-08-06,18:41:00,0.66,low
tide495,2021-08-07,0:03:00,0.85,high
tide496,2021-08-07,7:36:00,0.26,low
tide497,2021-08-07,15:03:00,0.88,high
tide498,2021-08-07,20:19:00,0.65,low
tide499,2021-08-08,1:04:00,0.83,high
tide500,2021-08-08,8:33:00,0.25,low
tide501,2021-08-08,15:51:00,0.91,high
tide502,2021-08-08,21:33:00,0.61,low
tide503,2021-08-09,2:05:00,0.83,high
tide504,2021-08-09,9:25:00,0.24,low
tide505,2021-08-09,16:31:00,0.93,high
tide506,2021-08-09,22:23:00,0.56,low
tide507,2021-08-10,3:05:00,0.84,high
tide508,2021-08-10,10:14:00,0.24,low
tide509,2021-08-10,17:06:00,0.94,high
tide510,2021-08-10,23:06:00,0.51,low
tide511,2021-08-11,4:06:00,0.86,high
tide512,2021-08-11,10:58:00,0.26,low
tide513,2021-08-11,17:36:00,0.95,high
tide514,2021-08-11,23:45:00,0.46,low
tide515,2021-08-12,5:02:00,0.88,high
tide516,2021-08-12,11:38:00,0.28,low
tide517,2021-08-12,18:06:00,0.96,high
tide518,2021-08-13,0:24:00,0.42,low
tide519,2021-08-13,5:54:00,0.9,high
tide520,2021-08-13,12:16:00,0.32,low
tide521,2021-08-13,18:36:00,0.97,high
tide522,2021-08-14,1:04:00,0.38,low
tide523,2021-08-14,6:45:00,0.91,high
tide524,2021-08-14,12:53:00,0.36,low
tide525,2021-08-14,19:06:00,0.98,high
tide526,2021-08-15,1:45:00,0.34,low
tide527,2021-08-15,7:36:00,0.91,high
tide528,2021-08-15,13:31:00,0.4,low
tide529,2021-08-15,19:37:00,0.98,high
tide530,2021-08-16,2:27:00,0.31,low
tide531,2021-08-16,8:27:00,0.9,high
tide532,2021-08-16,14:10:00,0.45,low
tide533,2021-08-16,20:11:00,0.99,high
tide534,2021-08-17,3:12:00,0.28,low
tide535,2021-08-17,9:22:00,0.89,high
tide536,2021-08-17,14:53:00,0.5,low
tide537,2021-08-17,20:48:00,0.98,high
tide538,2021-08-18,3:59:00,0.26,low
tide539,2021-08-18,10:26:00,0.87,high
tide540,2021-08-18,15:41:00,0.55,low
tide541,2021-08-18,21:30:00,0.97,high
tide542,2021-08-19,4:51:00,0.24,low
tide543,2021-08-19,11:44:00,0.85,high
tide544,2021-08-19,16:36:00,0.59,low
tide545,2021-08-19,22:21:00,0.94,high
tide546,2021-08-20,5:52:00,0.23,low
tide547,2021-08-20,12:59:00,0.85,high
tide548,2021-08-20,17:48:00,0.61,low
tide549,2021-08-20,23:26:00,0.91,high
tide550,2021-08-21,6:59:00,0.23,low
tide551,2021-08-21,14:08:00,0.87,high
tide552,2021-08-21,19:20:00,0.61,low
tide553,2021-08-22,0:38:00,0.88,high
tide554,2021-08-22,8:09:00,0.23,low
tide555,2021-08-22,15:10:00,0.89,high
tide556,2021-08-22,21:06:00,0.56,low
tide557,2021-08-23,1:56:00,0.86,high
tide558,2021-08-23,9:18:00,0.23,low
tide559,2021-08-23,16:02:00,0.91,high
tide560,2021-08-23,22:14:00,0.49,low
tide561,2021-08-24,3:20:00,0.86,high
tide562,2021-08-24,10:18:00,0.24,low
tide563,2021-08-24,16:46:00,0.92,high
tide564,2021-08-24,23:05:00,0.43,low
tide565,2021-08-25,4:25:00,0.87,high
tide566,2021-08-25,11:06:00,0.27,low
tide567,2021-08-25,17:22:00,0.93,high
tide568,2021-08-25,23:48:00,0.38,low
tide569,2021-08-26,5:19:00,0.88,high
tide570,2021-08-26,11:49:00,0.3,low
tide571,2021-08-26,17:56:00,0.93,high
tide572,2021-08-27,0:26:00,0.35,low
tide573,2021-08-27,6:06:00,0.88,high
tide574,2021-08-27,12:26:00,0.34,low
tide575,2021-08-27,18:28:00,0.94,high
tide576,2021-08-28,1:03:00,0.33,low
tide577,2021-08-28,6:51:00,0.88,high
tide578,2021-08-28,13:01:00,0.37,low
tide579,2021-08-28,18:59:00,0.94,high
tide580,2021-08-29,1:36:00,0.32,low
tide581,2021-08-29,7:36:00,0.88,high
tide582,2021-08-29,13:34:00,0.41,low
tide583,2021-08-29,19:28:00,0.94,high
tide584,2021-08-30,2:10:00,0.3,low
tide585,2021-08-30,8:19:00,0.87,high
tide586,2021-08-30,14:06:00,0.44,low
tide587,2021-08-30,19:56:00,0.94,high
tide588,2021-08-31,2:45:00,0.29,low
tide589,2021-08-31,9:02:00,0.86,high
tide590,2021-08-31,14:37:00,0.48,low
tide591,2021-08-31,20:24:00,0.93,high
tide592,2021-09-01,3:21:00,0.28,low
tide593,2021-09-01,9:50:00,0.84,high
tide594,2021-09-01,15:13:00,0.51,low
tide595,2021-09-01,20:56:00,0.91,high
tide596,2021-09-02,4:01:00,0.27,low
tide597,2021-09-02,10:43:00,0.82,high
tide598,2021-09-02,15:53:00,0.55,low
tide599,2021-09-02,21:32:00,0.88,high
tide600,2021-09-03,4:47:00,0.27,low
tide601,2021-09-03,11:46:00,0.81,high
tide602,2021-09-03,16:41:00,0.59,low
tide603,2021-09-03,22:17:00,0.84,high
tide604,2021-09-04,5:40:00,0.27,low
tide605,2021-09-04,12:58:00,0.8,high
tide606,2021-09-04,17:44:00,0.61,low
tide607,2021-09-04,23:17:00,0.81,high
tide608,2021-09-05,6:46:00,0.27,low
